LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Breckland,156500,150000,155000,157000,170000,182500,199950,214000,220000,219995,235000,250000
Broadland,175000,168000,172500,179950,195000,214975,225000,240000,250000,253000,265000,278000
Great Yarmouth,132750,127750,134100,135000,140000,149995,155000,169995,175000,182500,190000,205000
King's Lynn and West Norfolk,155000,150000,150000,155498,163750,173000,187500,205000,210000,222450,235000,250000
North Norfolk,181500,172000,170750,182998,195000,210000,220000,245000,245000,252995,275000,291500
Norwich,144000,138000,144250,147500,159950,165000,175500,187000,192000,195000,205000,217500
South Norfolk,184000,175000,177000,182400,195000,210000,230000,245000,255000,260000,270000,285000
Babergh,200000,190000,195000,195000,218000,232000,250000,274995,275000,280000,300000,325000
Ipswich,132000,130000,135000,138000,153000,157000,170000,185000,195000,200000,206000,225000
Mid Suffolk,185000,175000,178000,182500,195000,215000,230000,260000,265000,260000,280000,300000
St Albans,348000,340000,359000,360000,414850,450000,500000,525000,535000,550000,550000,590000
Welwyn Hatfield,235000,240000,237500,249000,270000,305000,367250,370000,370000,370000,392500,418250
East Hertfordshire,249995,260000,259498,273000,291000,327000,362500,385000,390000,408240,425000,420000
Stevenage,167500,167500,167000,173000,197500,227500,250000,270000,274725,270000,285000,305000
East Suffolk,175000,172500,170000,175000,185000,204475,215000,232998,236995,238950,260000,271000
West Suffolk,170000,167000,170000,176000,192000,210000,225000,239995,250000,255000,255000,270000
City of London,450000,465000,485000,615000,769100,800000,833200,840000,923080,865000,883500,771750
Barking and Dagenham,170000,170000,174000,180995,215000,245500,290000,300000,310000,315000,322500,340000
Barnet,325000,325000,330000,345000,400000,450000,477475,530000,505000,520000,560000,583000
Bexley,215000,215000,210000,225000,250000,285000,327500,340000,350000,357000,375000,392500
Brent,285000,300000,322750,347500,385000,415000,445000,497500,495000,489000,510000,534000
Bromley,275000,275000,277750,295000,335000,375000,420000,438500,438000,440000,470000,495000
Camden,479425,485000,500000,585000,675000,705000,734000,760000,780000,783307,807500,761500
Croydon,220000,220000,230000,239950,265000,306000,338000,365000,380000,385000,400000,410750
Ealing,279000,293000,310000,326950,387525,432000,465000,480000,470000,467750,505000,525000
Enfield,241000,240000,248000,250000,285000,331000,385000,405000,400000,412000,425000,459950
Greenwich,245000,249995,245100,275000,317500,351580,395000,420000,430000,460000,461500,445000
Hackney,292500,310000,325000,375000,431000,490000,536959,535656,550000,600000,603500,590000
Hammersmith and Fulham,460000,465000,490000,561000,664625,730000,730000,780000,767000,727500,780000,793500
Haringey,290000,305000,315000,339950,405000,439995,460000,540000,520000,515000,522000,550000
Harrow,291000,293000,302000,325000,370000,400000,460000,500000,472000,456000,485225,543000
Havering,221000,220000,221000,232500,250000,287500,332000,350000,360000,367500,385000,405000
Hillingdon,249999,249950,250000,269950,305750,352250,400000,415000,415000,420000,430500,465000
Hounslow,249950,250000,265000,280000,319950,355000,380000,399950,410000,415000,430000,462500
Islington,389000,399995,410000,465000,535000,580000,620000,614000,600000,600000,660000,644500
Kensington and Chelsea,750000,792800,895000,979500,1197500,1175000,1200000,1350000,1425000,1250000,1300000,1250000
Kingston upon Thames,300000,300000,317500,335000,385000,415000,460000,485000,490000,485000,507500,530000
Lambeth,302250,310000,321000,350000,420000,460000,508500,520000,525000,537500,575000,552000
Lewisham,235000,240000,249000,260000,315000,360000,386000,427500,418750,428000,448000,463000
Merton,289000,295000,290000,320500,385000,420000,450000,470000,475000,470000,510000,545000
Newham,220000,219000,219000,230000,250000,310000,355000,392500,415000,417000,419475,428000
Redbridge,250000,250000,265000,275000,300000,350000,390000,420000,430000,425000,455000,490000
Richmond upon Thames,400000,420000,430000,475000,534998,577250,605000,640000,636250,635000,689975,720000
Southwark,314500,320000,332500,350000,420000,475000,515000,530000,572500,540000,547750,550000
Sutton,235000,233000,240000,250000,285000,320250,347500,365000,385000,390000,400250,430000
Tower Hamlets,305000,300000,305000,329650,384975,425000,470000,490000,480000,500000,533607,545000
Waltham Forest,230000,231500,241750,265000,320000,371950,421000,445000,445000,450000,470000,500000
Wandsworth,380000,390000,415750,465000,532500,560000,644000,651400,620000,625000,660000,650500
Westminster,580000,600000,635000,725000,875000,890000,1024000,1040000,1010000,977500,946600,892500
Medway,152000,149500,153500,160000,171000,191500,220000,235000,243000,250000,260000,278250
Bracknell Forest,235000,224950,235750,245000,265000,290000,330000,330000,340000,350000,365500,370000
West Berkshire,245000,247000,247500,250000,263000,300000,330000,339950,346000,345000,359950,375000
Reading,195000,190000,200000,205000,229950,252000,280000,305000,307000,307000,310000,320000
Slough,190000,190000,197500,210000,225000,255000,288000,315750,320000,323500,330000,348000
Windsor and Maidenhead,323000,327500,333000,338000,390000,420000,460000,485000,465000,465000,496500,520000
Wokingham,274000,275000,277500,285000,325000,379475,415000,422500,420000,420000,432000,445000
Milton Keynes,185000,175000,185000,188000,209950,232000,252000,270000,284250,287500,310500,313250
Brighton and Hove,243000,240000,245000,250000,275000,300000,325000,350000,350000,353000,380000,403345
Portsmouth,150000,149000,150000,154000,163500,173975,189998,204748,213250,210000,223000,237000
Southampton,164950,160000,160000,160000,170000,182500,194995,210000,210000,219500,223250,235000
Isle of Wight,177014,170000,170000,174000,179000,187500,191000,202250,205000,215000,232500,258000
Buckinghamshire,275000,269950,272000,280000,305000,325000,354623,385000,385000,390000,410000,433438
Eastbourne,184000,174000,174000,172500,190000,202500,221000,230000,239950,245000,250000,272500
Hastings,146000,145000,153000,155000,165000,171000,195000,208000,220000,225000,238250,273000
Lewes,225000,230000,230000,235000,250000,278500,297000,315000,320000,325000,338500,372500
Rother,220000,215000,216250,225000,235000,249997,265000,278000,285000,296000,325000,347000
Wealden,247000,230000,235000,240000,250000,275000,294973,310000,319950,315000,345000,370000
Basingstoke and Deane,211000,211177,223000,225000,240000,250000,280000,310000,320500,302000,325000,332500
East Hampshire,275000,260000,250000,270000,295000,318000,345000,363000,370000,375000,383900,410000
